Sun May 26 13:52:55 2024    profile_results

         294071575 function calls (255962084 primitive calls) in 66.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22013    0.037    0.000    0.239    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:267(get_edge)
  2918998    0.226    0.000    0.226    0.000 {built-in method builtins.getattr}
   934299    0.142    0.000    0.219    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:728(__str__)
  1089577    0.183    0.000    0.183    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:507(<listcomp>)
  2937233    0.182    0.000    0.182    0.000 {built-in method builtins.isinstance}
  1459499    0.167    0.000    0.167    0.000 {method 'update' of 'dict' objects}
    29838    0.096    0.000    0.163    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:561(update_neighbors)
    71053    0.071    0.000    0.155    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:234(get_bee)
     3260    0.003    0.000    0.146    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:933(<listcomp>)
     3260    0.003    0.000    0.146    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:932(<listcomp>)
   197558    0.135    0.000    0.135    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:681(<listcomp>)
    17105    0.098    0.000    0.130    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/ComputerPlayers.py:139(evaluate)
    18235    0.010    0.000    0.122    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:325(generate_board_state)
    18235    0.016    0.000    0.117    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:277(check_game_over)
    18235    0.033    0.000    0.112    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:327(<listcomp>)
  1459499    0.102    0.000    0.102    0.000 {method 'items' of 'dict' objects}
   263586    0.093    0.000    0.094    0.000 {built-in method _warnings.warn}
  1459499    0.093    0.000    0.093    0.000 {built-in method __new__ of type object at 0x100f9ef80}
  1459507    0.090    0.000    0.090    0.000 {built-in method builtins.hasattr}
  1704474    0.090    0.000    0.090    0.000 {method 'pop' of 'list' objects}
    88770    0.017    0.000    0.079    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:725(__repr__)
  1459499    0.079    0.000    0.079    0.000 {built-in method builtins.issubclass}
     9850    0.075    0.000    0.075    0.000 {built-in method builtins.print}
   197558    0.059    0.000    0.059    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:666(<listcomp>)
    87955    0.034    0.000    0.058    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:651(num_neighbors)
     9262    0.008    0.000    0.058    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:587(make_move)
   179261    0.053    0.000    0.053    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:573(<listcomp>)
   240516    0.042    0.000    0.042    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:782(<listcomp>)
   217650    0.041    0.000    0.041    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:617(<listcomp>)
   133142    0.035    0.000    0.035    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:846(<listcomp>)
    81182    0.022    0.000    0.022    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:655(<listcomp>)
     4827    0.008    0.000    0.018    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:886(is_legal_move)
    18235    0.009    0.000    0.013    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/hive.py:577(remove_from_old_neighbors)
