Thu Sep 26 07:23:36 2024    profile_results

         179182232 function calls (158493215 primitive calls) in 45.145 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   241709    0.174    0.000    0.174    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:463(<listcomp>)
   490229    0.146    0.000    0.146    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:666(<listcomp>)
  1629296    0.137    0.000    0.137    0.000 {built-in method builtins.getattr}
   490892    0.076    0.000    0.118    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:728(__str__)
   445919    0.117    0.000    0.117    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:315(<listcomp>)
     1090    0.001    0.000    0.115    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:924(is_legal_move)
  1640179    0.103    0.000    0.103    0.000 {built-in method builtins.isinstance}
   563444    0.098    0.000    0.098    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:507(<listcomp>)
   139849    0.057    0.000    0.096    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:651(num_neighbors)
   814648    0.096    0.000    0.096    0.000 {method 'update' of 'dict' objects}
    43459    0.044    0.000    0.095    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:234(get_bee)
  1538974    0.086    0.000    0.086    0.000 {method 'pop' of 'list' objects}
    10883    0.009    0.000    0.071    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:277(check_game_over)
    10075    0.054    0.000    0.071    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/ComputerPlayers.py:139(evaluate)
   405372    0.069    0.000    0.069    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:270(<listcomp>)
    10883    0.006    0.000    0.068    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:325(generate_board_state)
   814648    0.068    0.000    0.068    0.000 {method 'items' of 'dict' objects}
    13259    0.038    0.000    0.065    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:561(update_neighbors)
    10883    0.019    0.000    0.062    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:327(<listcomp>)
     8941    0.008    0.000    0.057    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:587(make_move)
   814648    0.053    0.000    0.053    0.000 {built-in method __new__ of type object at 0x1026eef80}
     1942    0.004    0.000    0.053    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:807(make_move)
   814657    0.051    0.000    0.051    0.000 {built-in method builtins.hasattr}
     1090    0.001    0.000    0.050    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:932(<listcomp>)
     1090    0.001    0.000    0.049    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:933(<listcomp>)
     4964    0.047    0.000    0.047    0.000 {built-in method builtins.print}
   814648    0.047    0.000    0.047    0.000 {built-in method builtins.issubclass}
      136    0.000    0.000    0.046    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:853(legal_movement)
    44749    0.009    0.000    0.043    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:725(__repr__)
     3684    0.009    0.000    0.038    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:771(try_move)
   189184    0.036    0.000    0.036    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:617(<listcomp>)
   137539    0.035    0.000    0.035    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:655(<listcomp>)
    64762    0.030    0.000    0.031    0.000 {built-in method _warnings.warn}
    63130    0.020    0.000    0.020    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:573(<listcomp>)
     1294    0.001    0.000    0.017    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:841(is_legal_move)
     1614    0.005    0.000    0.009    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:886(is_legal_move)
    10883    0.006    0.000    0.009    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:577(remove_from_old_neighbors)
   110080    0.006    0.000    0.006    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:754(__str__)
    11891    0.005    0.000    0.005    0.000 {built-in method builtins.max}
    13259    0.004    0.000    0.004    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:567(<listcomp>)
    44755    0.004    0.000    0.004    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:540(__repr__)
     7320    0.003    0.000    0.003    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:628(<listcomp>)
     6835    0.002    0.000    0.002    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:583(<listcomp>)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:96(_showwarnmsg)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:20(_showwarnmsg_impl)
     3684    0.001    0.000    0.001    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:782(<listcomp>)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:117(_formatwarnmsg)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:35(_formatwarnmsg_impl)
     1826    0.001    0.000    0.001    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:788(<listcomp>)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/linecache.py:26(getline)
       10    0.000    0.000    0.001    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/linecache.py:36(getlines)
        1    0.000    0.000    0.001    0.001 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/linecache.py:80(updatecache)
     1614    0.001    0.000    0.001    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:887(<listcomp>)
     1582    0.001    0.000    0.001    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:580(<listcomp>)
     1614    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:889(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:9(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      573    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:903(<listcomp>)
     1294    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:846(<listcomp>)
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:390(open)
     1614    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:297(detect_encoding)
        1    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/tokenize.py:321(read_or_stop)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      600    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1614    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       10    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:205(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       22    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:553(__init__)
       90    0.000    0.000    0.000    0.000 /Users/gregor30/Documents/Programmieren/Python/Hivemind/src/scripts/../../src/hive.py:809(<listcomp>)
        6    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/warnings.py:403(__init__)
        9    0.000    0.000    0.000    0.000 /Users/gregor30/miniforge3/envs/hivemind/lib/python3.10/copyreg.py:109(_slotnames)
